其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
高校星歌剧 第二季,原创电视动画《高校星歌剧第二季》是《高校星歌剧》的第二季续作。故事承接前作，讲述了作为二年级生的星谷悠太、那雪透、月皇海斗、天花寺翔、空闲愁等人需要开始面对新学期新的考验。,日本,TV,スタミュ 第2期,C-Station,C-Station,2017-04-03,完结,搞笑 校园 歌舞,搞笑 校园 歌舞 女性向,http://hstar-mu.com/
高达创战者 Battlogue,古谷徹人格分裂饰演两人，从头到尾都是名场景的neta，每集十分钟主题各不相同。,日本,WEB,ガンダムビルドファイターズ バトローグ,矢立肇 / 富野由悠季,SUNRISE,2017-08-04,完结,科幻 机战 热血,科幻 机战 热血,http://gundam-bf.net/battlogue/
战姬绝唱SYMPHOGEAR 第四季,《战姬绝唱Symphogear AXZ》是由SATELIGHT负责制作的电视动画，是《战姬绝唱Symphogear》第4期作品。2017年7月2日至9月24日每周日0:00在TOKYO MX和BS11首播，全13集。,日本,TV,戦姫絶唱シンフォギアAXZ,上松範康 / 金子彰史,SATELIGHT,2017-07-01,完结,热血 战斗 百合 歌舞,热血 战斗 百合 歌舞,http://www.symphogear-axz.com/
魔法少女奈叶 Reflection,《魔法少女奈叶Reflection》是原创动画《魔法少女奈叶》系列的第3部剧场版动画，由Seven Arcs Pictures制作，于2017年7月22日起在日本上映。该片世界观设在前作《魔法少女奈叶 The MOVIE 2nd A's》“暗之书事件”结束4个月后，并引入了PSP游戏《魔法少女奈叶A's 携带版 王牌之战》与《魔法少女奈叶A's 携带版 命运齿轮》中的原创角色与部分设定，但剧情为原创，是系列中第一部完全原创的剧场版。,日本,剧场版,魔法少女リリカルなのは Reflection,都築真紀,SEVEN・ARCS,2017-07-22,完结,百合 战斗 魔法 奇幻,百合 战斗 魔法 奇幻,http://www.nanoha.com/archive6/index.html
海贼王TV版特别篇 东海之章 路飞与四位伙伴的大冒险！,从路飞开始大冒险的10年前与香克斯的约定、与佐罗·纳米·乌索·山治的相遇到成为伙伴的精彩场面不断登场!,日本,TV,ONE PIECE エピソードオブ東の海～ルフィと4人の仲間の大冒険!!～,尾田栄一郎,東映動画,2017-08-26,完结,搞笑 冒险 热血 励志,搞笑 冒险 热血 励志,暂无
斗破苍穹,萧炎，主人公，萧家历史上空前绝后的斗气修炼天才。4岁就开始修炼斗之气，10岁拥有了九段斗之气，11岁突破十段斗之气，一跃成为家族百年来最年轻的斗者。然而在12岁那年，他却“丧失”了修炼能力，只拥有三段斗之气。整整三年时间，家族冷遇，旁人轻视，被未婚妻退婚……种种打击接踵而至。 就在他即将绝望的时候，一缕幽魂从他手上的戒指里浮现，一扇全新的大门在面前开启！萧炎重新成为家族年轻一辈中的佼佼者，受到众人的仰慕，他却不满足于此。为了一雪退婚带来的耻辱，萧炎来到了魔兽山脉，在药老的帮助下，进一步提升自己的修炼级别……,中国,WEB,斗破苍穹,天蚕土豆,上海福煦影视文化投资有限公司,2017-01-07,完结,奇幻 玄幻 战斗,奇幻 玄幻 战斗,暂无
斗破苍穹 特别篇,萧炎，萧家历史上空前绝后的斗气修炼天才。家族百年之内最年轻的斗者！三年之前，这名声望达到巅峰的天才少年，却是突兀的接受到了有生以来最残酷的打击，他辛辛苦苦修炼十数载方才凝聚的斗之气旋，一夜之间，化为乌有，而且体内的斗之气，也是随着时间的流逝，诡异地变得越来越少导致其实力不断地后退。一夜间，沦落成了路人口中嘲笑的废物！种种打击接踵而至，就在他即将绝望的时候，一缕幽魂（药尘又作药老）从他手上的戒指里浮现，一扇全新的大门在面前开启！竟是有一不死魂魄吸收他的斗气，在药老灵魂停止吸收斗气后萧炎终于天赋重展，（有药老帮助）连连突破，震惊全城。重新成为家族年轻一辈中的最强斗者，然而他却不满足于此。 为了一雪退婚带来的耻辱，萧炎来到了魔兽山脉，在药老的帮助下，进一步提升自己的实力……在魔兽山脉，他结识了小医仙（厄难毒体），结为好友，抵御妖兽和企图不轨的敌人。他面向的世界更加宽阔。后又在药老的教导下，成为加玛帝国黑岩城最年轻的二品炼药师，（现已是九品玄丹炼药宗师）。为着他的执着与信念闯荡大陆，向着大陆巅峰强者迈进。年仅29岁便晋级斗帝境界并自封炎帝， 30岁成为斗帝，号“炎帝”。 终于，在萧炎坚持不懈的努力和强大存在的帮助下，重新成为了家族年轻一辈的佼佼者，更游历了整个大陆，挑战无数强大而神秘的邪恶势力与大陆上无数传说中的无敌强者，成为大陆巅峰强者。,中国,WEB,斗破苍穹 特别篇,天蚕土豆,幻维数码,2017-09-30,完结,奇幻 玄幻 战斗,奇幻 玄幻 战斗,暂无
斗破苍穹 Q版小剧场,这里有最架空的斗气大陆、最无语的儿女情长、最劲爆的明星隐私、最浆糊的恩怨情仇。斗破唱囧Q版真人秀节目，为你揭露斗破苍穹的台前幕后。,中国,WEB,斗破苍穹 Q版小剧场,天蚕土豆,上海福煦影视文化投资有限公司,2017-01-07,完结,搞笑 奇幻 玄幻,搞笑 奇幻 玄幻,暂无
狐妖小红娘 日语版,动画《狐妖小红娘》改编自小新创作的同名漫画。作品主要讲述了以红娘为职业的狐妖在为前世恋人牵红线过程当中发生的一系列有趣、神秘的故事。,日本,TV,縁結びの妖狐ちゃん,小新,绘梦,2017-07-01,完结,搞笑 奇幻 爱情 治愈,搞笑 奇幻 爱情 治愈,http://enmusuyouko.com/
秦时明月之医者入世,医者行于天地，可选前途有二：一者精研学问，著书立传，以供后世瞻仰讲学；二者泽被苍生，救死扶伤，妙手留存万千性命。前者安，后者危。前者从医道，后者尽医心。 ,中国,WEB,秦时明月之医者入世,温世仁,玄机科技,2017-10-05,完结,历史 武侠 奇幻,历史 武侠 奇幻,暂无
地灵曲,三年磨一剑 ，耗资数千万；国产3D巨制，弘扬华夏文化。 灼华《地灵曲》以故事创意为骨，以华夏文化为髓，打造国产动画精品。 画面——精美绝伦 电影享受 动作——酣畅淋漓 拳拳到肉 剧情——跌宕起伏 环环相扣 《地灵曲》东方美学 淋漓尽致 故事简介：大民六年，丁未月，乙卯日，海都夜天地潮汐、日月同辉海都一夜之间异象四起，一时间城中阴霾密布，楼塌地陷，百万生灵置于倒悬之急。 三大倒斗世家——张、韩、曹，为救海都众生，联手共寻异象之迷，获知其间藏有莫大隐秘，恐有动荡华夏龙脉格局之危。 张家大少张天启为人善良 淳朴，秉承家族之大义，寻得楼兰秘史，两者盘根错节，千丝万缕。 为救亿万生灵于水火，解华夏倾覆之危难，天启率小队历经重重磨难，终抵楼兰。 楼兰——衰亡千年之地，竟有天字大墓，墓中凶险莫测，天启小队九死一生。 海都满城异象，楼兰天字大墓，两者之间究竟有着怎样的关联？ 一段跨越千年的故事正缓缓拉开序幕……,中国,WEB,地灵曲,常磊,灼华互娱科技,2017-09-19,完结,冒险 悬疑 剧情,冒险 悬疑 剧情,暂无
精灵梦叶罗丽 第五季,舒言的秘密被齐娜得知，齐娜伤心不已。这时舒言离家出走，被文茜找到，并把他带入仙境。她恳求女王救舒言，女王却把舒言变成了石像。辛灵得知了舒言的处境，将三位叶罗丽战士送入仙境。同时，学校里封银沙与齐娜、高泰明与文茜也兵分两路进入了仙境。在冰公主的帮助下，舒言最终得救。文茜为救舒言背叛女王，铁希的真实身份也被揭开，但他却再次被女王变成铁皮人。齐娜和封银沙遇到荒石，齐娜的一系列举动感动了荒石，他复活了菲灵，并来到人类世界，但封银沙和黑香菱仍无法摆脱女王。白光莹得知高泰明患心脏病，女王却抓住这个弱点企图破坏高泰明与叶罗丽战士的关系。由于女王从中作梗，荒石与爱撒谎的童星莫纱缔结契约，莫纱拜托荒石帮助自己摆脱谎言。另一边，舒言发现自己的身体停止了生长，他不想再连累大家，于是依然保守了这个秘密。另一方面，文茜因对铁希过于思念，再度被女王利用。女王得知仙境的入口以及舒言的处境，并给叶罗丽战士们设下圈套......,中国,WEB,精灵梦叶罗丽 第5季,暂无,精英集团,2017-06-08,完结,冒险 爱情 魔法 亲子,冒险 爱情 魔法 亲子,暂无
快把我哥带走！,电视动画《快把我哥带走》改编自幽·灵创作的同名网络漫画，动画由日本动画公司Imagineer和Fanworks共同制作。,中国,WEB,兄に付ける薬はない！-快把我哥帯走-,幽·灵,Imagineer / Fanworks,2017-03-28,完结,搞笑 泡面番,搞笑 泡面番,http://fanworks.co.jp/news/20170306/
全职高手,《全职高手》是根据蝴蝶蓝同名电竞小说改编的网络动画，分为正式剧集和特别篇。,中国,WEB,全职高手,蝴蝶蓝,视美精典,2017-04-07,完结,奇幻 热血 战斗 游戏,奇幻 热血 战斗 游戏,暂无
风灵玉秀,《风灵玉秀》是中国大陆独立动画制作人DDF及其团队制作的一部长篇动画片，于2017年04月1日出品，播放平台主要是网络。,中国,WEB,风灵玉秀,DDF,Sunflowers,2017-04-01,完结,武侠 战斗,武侠 战斗,暂无
墓王之王 寒铁斗,继第一季中楼满风、寒千落、林水瑶、骆时秋等人攻破谷子墓拿到破墓令后，破墓令出墓一事在墓派江湖引起轩然大波，朝廷势力也蠢蠢欲动，更有世仇势力神秘登场，众多势力让整个墓派江湖更加动荡不安……,中国,WEB,墓王之王 寒铁斗,石头熊,铸梦动画,2017-05-11,完结,奇幻 武侠 战斗,奇幻 武侠 战斗,暂无
墓王之王 悬棺寺,本季中，攻墓派又开启了新的征程-悬棺寺，其中的悬棺崖不仅是九锁连环大墓的第三座大墓，也是攻守两派争夺悬棺崖破墓令的所在地，一场风云突变的武林恶战也伴随着墓派内部的矛盾爆发……,中国,WEB,墓王之王 悬棺寺,石头熊,铸梦动画,2017-12-14,完结,奇幻 武侠 战斗,奇幻 武侠 战斗,暂无
超级弹丸论破2.5 狛枝凪斗与世界的破坏者,学园推理游戏《弹丸论破》系列最新作《新弹丸论破V3》于2017年1月12日登陆PSV/PS4平台。另外，在游戏限定版“超高校级的限定BOX”中同捆了原创动画《超级弹丸论破2.5：狛枝凪斗与世界的破坏者》。,日本,OVA,スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者,Spike Chunsoft,Lerche,2017-01-12,完结,校园 悬疑 科幻,校园 悬疑 科幻,暂无
吹响！上低音号剧场版 ～想要传达的旋律～,吹响！上低音号～想要传达的旋律～》是由石原立也执导、花田十辉负责剧本。京都动画制作的《吹响！上低音号》系列剧场版动画，该作于2017年9月30日在日本电影院公开上映。,日本,剧场版,劇場版 響け！ユーフォニアム～届けたいメロディ～,武田綾乃,京都动画,2017-09-30,完结,校园 励志 歌舞,校园 励志 歌舞 百合 轻小说,http://anime-eupho.com/
怪怪守护神,电视动画《怪怪守护神》改编自滨田义一原作的同名漫画。在2016年9月12日发售的单行本第18卷的书带上，发表了其TV动画化的决定。动画于2017年4月2日首播，全12话。,日本,TV,つぐもも,浜田よしかづ,ZERO-G,2017-04-02,完结,搞笑 奇幻 后宫 战斗,搞笑 奇幻 后宫 战斗,http://tsugumomo.com/
枪神记,《枪神记》，是由企鹅影视、天美N1创新产品中心、魔铠科技联合出品的3DCG动画，根据射击游戏《枪神纪》改编而来。,中国,WEB,枪神记,射击网游《枪神纪》,魔铠科技 / 天美N1创新产品中心,2017-12-08,完结,科幻 热血 战斗,科幻 热血 战斗,暂无
漫研部 第三季,2016年11月在《阿尼×瓦拉》vol.6中发表第3期，2017年1月开始播出。标题是《在天空的天空剧场暧昧~ Surgical Friends ~》。2016年12月在AT-X等电视台播出第3期决定纪念的“番宣特别篇”。,日本,TV,あいまいみー〜Surgical Friends〜,ちょぼらうにょぽみ,Seven,2017-01-03,完结,搞笑 校园 百合,搞笑 校园 百合,http://www.dreamcreation.co.jp/aimaimi3/
巴加的工作室,《巴佳的工作室》（日语：バジャのスタジオ）是由京都动画制作的一部动画。2017年10月28日~29日举办的第3回京阿尼 & Animation DO粉丝感谢祭入场券附带的蓝光光碟「私たちは、いま！！全集2017」将收录《巴佳的工作室》，以京阿尼的吉祥物“巴佳”（バジャ）为主人公，以架空的动画公司“KOHATA动画工作室”为舞台。,日本,OVA,バジャのスタジオ,暂无,京都动画,2017-10-28,完结,奇幻 治愈,奇幻 治愈,http://www.kyotoanimation.co.jp/baja/
剑王朝,《剑王朝》是根据网文大神无罪同名小说改编的动画作品，该剧由爱奇艺出品，共24集，2017年4月26日起在爱奇艺每周三早8点热血上线。 2018年1月5日起每周五在日本TOKYO MX播出。,中国,WEB,剑王朝,暂无,上海绘界文化传播有限公司,2017-04-26,完结,热血 战争 历史,热血 战争 历史,暂无
剑王朝 第二季,战国末期，已修行至第八境的秦王元武出关，与皇后郑秀貌合神离。朝堂内外都在追查九死蚕再现江湖的传言，站在风口浪尖上的丁宁被各方势力关注。在和申玄交手中，丁宁遇到了长孙浅雪和白杨洞薛忘虚。丁宁和长孙浅雪在薛忘虚的帮助下得以在灵脉双修疗伤，他的身世之谜也开始逐渐浮现。朝堂上郑秀和梁联也各自盘算着擒得丁宁为己所用的事情。岷山剑会召开在即，炼气而成的丁宁不仅成为了薛忘虚的弟子得到白羊挂角的真传，还与长孙一起踏上了为王惊梦的复仇之路。丁宁与王惊梦有怎样的牵扯，与长孙会产生怎样的纠葛，又是如何在朝堂纷争中保身，都将在这趟复仇之路上为您揭晓。,中国,WEB,剑王朝 第2季,暂无,上海童圆文化传媒有限公司,2017-10-12,完结,热血 战争 历史,热血 战争 历史,暂无
头条都是他,"他们是超级偶像，也是话题王子，拥有吸粉魅力，也有招黑体质,。这是一部讲述逗比偶像们的日常动态漫画……",中国,WEB,头条都是他,幽·灵,暂无,2018,完结,搞笑 偶像,搞笑 偶像,暂无
少女与战车 最终章,《少女与战车：最终章》是由水岛努执导，吉田玲子编剧，Actas制作的原创OVA动画。是动画系列《少女与战车》的最终章。,日本,剧场版,ガールズ&パンツァー 最終章,Actas,Actas,2017-12-09,连载,搞笑 校园 科幻 百合,搞笑 校园 科幻 百合,http://girls-und-panzer-finale.jp/
